node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'us-central1-c', 0, 0, 'FKA.pem', -1, 0,
1, 'us-central1-c', 0, 0, 'FKA.pem', -1, 1,
2, 'us-central1-c', 0, 0, 'FKA.pem', -1, 2,
3, 'us-central1-c', 0, 0, 'FKA.pem', -1, 3,
4, 'us-central1-c', 1, -1, 'FKA.pem', 0, -1,
5, 'us-central1-c', 1, -1, 'FKA.pem', 1, -1,
6, 'us-central1-c', 1, -1, 'FKA.pem', 2, -1,
7, 'us-central1-c', 1, -1, 'FKA.pem', 3, -1,
8, 'us-central1-c', 1, -1, 'FKA.pem', 4, -1,
9, 'us-central1-c', 1, -1, 'FKA.pem', 5, -1,
10, 'us-central1-c', 1, -1, 'FKA.pem', 6, -1,
11, 'us-central1-c', 1, -1, 'FKA.pem', 7, -1,
12, 'us-central1-c', 1, -1, 'FKA.pem', 8, -1,
13, 'us-central1-c', 1, -1, 'FKA.pem', 9, -1,
14, 'us-central1-c', 1, -1, 'FKA.pem', 10, -1,
15, 'us-central1-c', 1, -1, 'FKA.pem', 11, -1,
